id,clinicId,weekLabel,year,month,weekNumber,blogsPublished,avgRanking,totalTraffic,callsRequested,websiteVisits,directionClicks,metaImpressions,metaClicks,metaCTR,metaConversions,metaAdSpend,metaCPC,metaCostPerConversion,googleImpressions,googleClicks,googleCTR,googleCPC,googleConversions,googleCVR,googleCostPerConversion,googleTotalCost,socialPosts,socialViews,patientCount,digitalConversion,conversionRate,dailyPatientAvg,createdAt,updatedAt
cmm99d6qe0002ej8u77t4pgwa,cmm95ncql0001m3b337f4uupv,"November Week 1",2025,11,1,0,8.0,624,35,32,47,1853,8,0.00431732326,5,42.39,0.0,0.0,3176,113,0.03557934509,7.750353982,21,0.185840708,41.70428571,875.79,2,9600,63,0,0.0,7.4,1772460748886,1772462834137
cmm99d6qf0004ej8ub7iyzp02,cmm95ncql0001m3b337f4uupv,"November Week 2",2025,11,2,0,7.0,629,16,24,79,9854,85,0.008625938705,6,196.79,0.0,0.0,5469,173,0.03163283964,5.194046243,19,0.1098265896,47.29315789,898.57,5,16400,50,0,0.0,7.14,1772460748887,1772462834139
cmm99d6qg0006ej8u7u9r5se0,cmm95ncql0001m3b337f4uupv,"November Week 3",2025,11,3,0,7.0,644,32,33,100,33186,222,0.00668956789,7,277.21,0.0,0.0,8731,299,0.03424579086,2.161371237,46,0.1538461538,14.04891304,646.25,4,38100,51,0,0.0,7.29,1772460748888,1772462834141
cmm99d6qg0008ej8ucn25bchc,cmm95ncql0001m3b337f4uupv,"November Week 4",2025,11,4,0,7.0,502,26,24,89,42124,251,0.005958598424,11,278.89,0.0,0.0,8523,324,0.03801478353,1.931512346,41,0.1265432099,15.26365854,625.81,2,46700,42,0,0.0,6.0,1772460748889,1772462834141
cmm99d6qh000aej8upgujrecs,cmm95ncql0001m3b337f4uupv,"December Week 1",2025,12,1,0,7.0,223,14,16,46,42699,250,0.005854938055,6,278.09,0.0,0.0,9487,291,0.03067355328,2.436666667,47,0.1615120275,15.08659574,709.07,5,41900,45,0,0.0,6.42,1772460748889,1772462834142
cmm99d6qi000cej8ue2b6o12t,cmm95ncql0001m3b337f4uupv,"December Week 2",2025,12,2,0,7.0,188,16,22,38,45569,274,0.006012859619,10,277.09,0.0,0.0,9101,311,0.034172069,2.313054662,51,0.1639871383,14.10509804,719.36,5,47900,71,0,0.0,10.0,1772460748890,1772462834143
cmm99d6qj000eej8u3x044opu,cmm95ncql0001m3b337f4uupv,"December Week 3",2025,12,3,0,7.0,285,19,18,42,41924,349,0.008324587349,7,327.98,0.0,0.0,8610,330,0.03832752613,2.069242424,51,0.1545454545,13.38921569,682.85,4,54400,56,0,0.0,8.0,1772460748891,1772462834144
cmm99d6qj000gej8u9c72hm17,cmm95ncql0001m3b337f4uupv,"December Week 4",2025,12,4,0,7.0,221,13,21,25,45237,308,0.006808585892,7,278.42,0.0,0.0,9652,354,0.03667633651,1.914096045,47,0.1327683616,14.41680851,677.59,4,51800,63,0,0.0,9.0,1772460748892,1772462834145
cmm99d6qk000iej8ud30qnnnx,cmm95ncql0001m3b337f4uupv,"January Week 1",2026,1,1,0,0.0,0,0,0,0,61665,397,0.006438011838,10,272.88,0.0,0.0,8260,317,0.03837772397,2.186056782,50,0.1577287066,13.8596,692.98,2,57400,57,0,0.0,8.142857143,1772460748892,1772462834146
cmm99d6ql000kej8ut953b2yp,cmm95ncql0001m3b337f4uupv,"January Week 2",2026,1,2,4,0.0,0,0,0,0,17260,138,0.007995365006,8,237.86,0.0,0.0,8392,318,0.03789323165,2.555188679,48,0.1509433962,16.928125,812.55,3,44700,57,16,0.2857142857,8.142857143,1772460748893,1772462834147
cmm99d6ql000mej8us8j8fmxn,cmm95ncql0001m3b337f4uupv,"January Week 3",2026,1,3,5,0.0,0,0,0,0,26695,234,0.008765686458,8,204.29,0.0,0.0,9390,324,0.03450479233,2.632839506,57,0.1759259259,14.96561404,853.04,3,4500,50,12,0.1846153846,7.142857143,1772460748894,1772462834148
cmm99d6qm000oej8unwrxsfec,cmm95ncql0001m3b337f4uupv,"January Week 4",2026,1,4,4,0.0,0,0,0,0,28946,217,0.007496718027,3,208.12,0.0,0.0,8262,300,0.03631082062,2.9075,50,0.1666666667,17.445,872.25,2,1200,56,12,0.2264150943,8.0,1772460748894,1772462834149
cmm99d6qn000qej8u3tnsr3fz,cmm95ncql0001m3b337f4uupv,"February Week 1",2026,2,1,5,0.0,0,0,0,0,25561,163,0.006376902312,1,180.85,0.0,0.0,8444,321,0.03801515869,2.597538941,45,0.1401869159,18.52911111,833.81,3,474,48,17,0.3695652174,6.857142857,1772460748895,1772462834149
cmm99d6qn000sej8ulb8qicyv,cmm95ncql0001m3b337f4uupv,"February Week 2",2026,2,2,5,0.0,0,0,0,0,8354,64,0.007661000718,1,71.54,0.0,0.0,7190,347,0.04826147427,2.634351585,56,0.1613832853,16.32357143,914.12,5,359,45,11,0.1929824561,6.428571429,1772460748896,1772462834150
cmm99d6qo000uej8u6w6g8dn4,cmm95ncql0001m3b337f4uupv,"February Week 3",2026,2,3,5,0.0,0,0,0,0,8921,63,0.007061988566,1,69.57,0.0,0.0,9221,373,0.04045114413,2.540134048,59,0.1581769437,16.05881356,947.47,3,328,46,13,0.2166666667,6.571428571,1772460748896,1772462834151
cmm99d6qo000wej8uumucp4ww,cmm95ncql0001m3b337f4uupv,"February Week 4",2026,2,4,0,0.0,0,0,0,0,9431,74,0.00784646379,2,70.0,0.0,0.0,8604,345,0.04009762901,2.652318841,57,0.1652173913,16.05350877,915.05,6,786,56,21,0.3559322034,8.0,1772460748897,1772462834151
cmm99d6qr000zej8uwrhomb3d,cmm95mcov0000m3b33gam35ij,"November Week 1",2025,11,1,6,5.0,15,16,16,26,62029,19,0.0003063083396,83,231.66,0.0,0.0,3147,163,0.05179536066,4.580306748,14,0.08588957055,53.32785714,746.59,3,62100,53,0,0.0,0.0,1772460748899,1772462834155
cmm99d6qs0011ej8urpimihu7,cmm95mcov0000m3b33gam35ij,"November Week 2",2025,11,2,5,5.0,34,13,17,28,64517,31,0.0004804935133,234,279.03,0.0,0.0,2810,192,0.06832740214,3.943125,18,0.09375,42.06,757.08,3,64000,50,0,0.0,0.0,1772460748900,1772462834156
cmm99d6qs0013ej8ucomchex3,cmm95mcov0000m3b33gam35ij,"November Week 3",2025,11,3,8,5.0,16,18,24,25,60816,26,0.0004275190739,177,279.41,0.0,0.0,2481,191,0.07698508666,3.624816754,23,0.1204188482,30.10173913,692.34,2,53400,53,0,0.0,0.0,1772460748901,1772462834156
cmm99d6qt0015ej8unldp9oon,cmm95mcov0000m3b33gam35ij,"November Week 4",2025,11,4,7,5.0,23,20,19,20,39898,34,0.0008521730413,105,212.92,0.0,0.0,2381,210,0.08819823604,3.167190476,29,0.1380952381,22.93482759,665.11,2,32900,70,0,0.0,0.0,1772460748901,1772462834157
cmm99d6qu0017ej8umti7u464,cmm95mcov0000m3b33gam35ij,"December Week 1",2025,12,1,5,5.0,21,11,27,13,56183,35,0.0006229642419,166,278.68,0.0,0.0,2426,203,0.0836768343,3.552167488,19,0.09359605911,37.95210526,721.09,6,46100,46,0,0.0,0.0,1772460748902,1772462834158
cmm99d6qu0019ej8uhh1vgfug,cmm95mcov0000m3b33gam35ij,"December Week 2",2025,12,2,5,5.0,29,8,15,16,43581,120,0.002753493495,170,338.1,0.0,0.0,2465,198,0.08032454361,3.556464646,20,0.101010101,35.209,704.18,4,40600,52,0,0.0,0.0,1772460748903,1772462834158
cmm99d6qv001bej8urdpk0yrr,cmm95mcov0000m3b33gam35ij,"December Week 3",2025,12,3,5,5.0,22,13,24,25,0,0,0.0,0,0.0,0.0,0.0,2776,225,0.0810518732,3.052444444,26,0.1155555556,26.41538462,686.8,7,12400,69,0,0.0,10.0,1772460748903,1772462834159
cmm99d6qv001dej8ufgtuqfbh,cmm95mcov0000m3b33gam35ij,"December Week 4",2025,12,4,5,5.0,24,18,28,19,0,0,0.0,0,0.0,0.0,0.0,2500,223,0.0892,2.857174888,33,0.1479820628,19.30757576,637.15,4,12700,96,0,0.0,13.71428571,1772460748904,1772462834160
cmm99d6qw001fej8ucms7jf6b,cmm95mcov0000m3b33gam35ij,"January Week 1",2026,1,1,4,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,2856,226,0.07913165266,2.868141593,25,0.110619469,25.928,648.2,2,18900,76,0,0.0,13.71428571,1772460748904,1772462834161
cmm99d6qx001hej8ujojb8gg5,cmm95mcov0000m3b33gam35ij,"January Week 2",2026,1,2,5,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,2591,186,0.07178695484,4.152903226,28,0.1505376344,27.58714286,772.44,3,21000,48,0,0.0,10.85714286,1772460748905,1772462834161
cmm99d6qx001jej8unmii945g,cmm95mcov0000m3b33gam35ij,"January Week 3",2026,1,3,5,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,3230,240,0.07430340557,3.665833333,32,0.1333333333,27.49375,879.8,4,8300,43,0,0.0,6.857142857,1772460748906,1772462834162
cmm99d6qy001lej8uqcz7bkjw,cmm95mcov0000m3b33gam35ij,"January Week 4",2026,1,4,5,0.0,0,0,0,0,4099,210,0.05123200781,105,9.94,0.0,0.0,3875,258,0.06658064516,3.390426357,26,0.1007751938,33.64346154,874.73,2,29000,46,13,0.09923664122,6.571428571,1772460748906,1772462834163
cmm99d6qz001nej8uojovrccm,cmm95mcov0000m3b33gam35ij,"February Week 1",2026,2,1,5,0.0,0,0,0,0,26091,1290,0.04944233644,30,69.33,0.0,0.0,4623,360,0.07787151201,2.383833333,49,0.1361111111,17.51387755,858.18,2,18900,54,4,0.05063291139,7.714285714,1772460748907,1772462834164
cmm99d6qz001pej8udlgy74ak,cmm95mcov0000m3b33gam35ij,"February Week 2",2026,2,2,5,0.0,0,0,0,0,23709,1390,0.05862752541,35,69.36,0.0,0.0,3842,422,0.1098386257,2.167180095,29,0.06872037915,31.5362069,914.55,3,19800,49,15,0.234375,7.0,1772460748908,1772462834165
cmm99d6r0001rej8uiex2ub6p,cmm95mcov0000m3b33gam35ij,"February Week 3",2026,2,3,5,0.0,0,0,0,0,21828,1200,0.05497526113,32,70.17,0.0,0.0,3908,307,0.07855680655,3.030749186,41,0.1335504886,22.69365854,930.44,3,16300,51,11,0.1506849315,7.285714286,1772460748908,1772462834166
cmm99d6r0001tej8uvaj0otme,cmm95mcov0000m3b33gam35ij,"February Week 4",2026,2,4,0,0.0,0,0,0,0,21507,1330,0.06184033106,36,68.92,0.0,0.0,3379,281,0.08316069843,2.91683274,33,0.1174377224,24.83727273,819.63,2,14500,64,9,0.1304347826,9.142857143,1772460748909,1772462834167
cmm99d6r3001vej8ullvx68ep,cmm95p3se0003m3b36q6t6wzh,"November Week 1",2025,11,1,6,0.0,0,0,11,2,8845,227,0.02566421707,4,178.9,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,1,7800,0,0,0.0,0.0,1772460748911,1772462834170
cmm99d6r3001xej8u5vt4m09z,cmm95p3se0003m3b36q6t6wzh,"November Week 2",2025,11,2,6,0.0,0,2,7,9,13497,311,0.02304215752,16,398.55,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,11300,0,0,0.0,0.0,1772460748912,1772462834171
cmm99d6r4001zej8uawwod8u6,cmm95p3se0003m3b36q6t6wzh,"November Week 3",2025,11,3,6,0.0,0,3,7,5,17120,242,0.01413551402,22,453.74,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,1,14600,0,0,0.0,0.0,1772460748912,1772462834171
cmm99d6r50021ej8u353roin9,cmm95p3se0003m3b36q6t6wzh,"November Week 4",2025,11,4,6,0.0,0,0,7,8,16112,192,0.01191658391,15,453.81,0.0,0.0,2917,218,0.07473431608,2.734914063,21,0.09633027523,3.795714286,79.71,1,14300,0,0,0.0,0.0,1772460748913,1772462834172
cmm99d6r50023ej8uu0vxzdug,cmm95p3se0003m3b36q6t6wzh,"December Week 1",2025,12,1,6,0.0,0,0,8,3,18502,218,0.01178251,12,447.21,0.0,0.0,3457,110,0.03181949667,0.5574418487,10,0.09090909091,19.733,197.33,0,0,1,0,0.0,0.0,1772460748914,1772462834173
cmm99d6r60025ej8u76tgc9er,cmm95p3se0003m3b36q6t6wzh,"December Week 2",2025,12,2,6,0.0,0,1,9,5,19964,183,0.009166499699,17,510.59,0.0,0.0,4667,175,0.03749732162,0.6705237749,11,0.06285714286,23.72636364,260.99,2,19800,0,0,0.0,0.0,1772460748914,1772462834173
cmm99d6r60027ej8uo9aa9sgp,cmm95p3se0003m3b36q6t6wzh,"December Week 3",2025,12,3,5,0.0,0,2,6,4,26080,238,0.009125766871,31,538.43,0.0,0.0,5768,194,0.03363384189,0.6573819932,4,0.0206185567,73.7775,295.11,4,20500,6,0,0.0,0.0,1772460748915,1772462834174
cmm99d6r70029ej8uloh16bni,cmm95p3se0003m3b36q6t6wzh,"December Week 4",2025,12,4,5,0.0,0,3,5,3,57646,414,0.007181764563,30,704.55,0.0,0.0,5436,162,0.0298013245,0.5820428987,6,0.03703703704,46.38833333,278.33,4,55400,13,0,0.0,0.0,1772460748915,1772462834175
cmm99d6r8002bej8ucj0j31s1,cmm95p3se0003m3b36q6t6wzh,"January Week 1",2026,1,1,4,0.0,0,0,0,0,72183,452,0.006261862211,33,711.88,0.0,0.0,4314,207,0.04798331015,0.7511975613,5,0.02415458937,55.112,275.56,2,66100,0,0,0.0,0.0,1772460748916,1772462834175
cmm99d6r8002dej8uo1fp45cj,cmm95p3se0003m3b36q6t6wzh,"January Week 2",2026,1,2,5,0.0,0,0,0,0,90059,553,0.006140419059,58,755.68,0.0,0.0,5120,225,0.0439453125,0.5904891875,47,0.2088888889,8.107234043,381.04,3,80900,9,0,0.0,0.0,1772460748917,1772462834176
cmm99d6r9002fej8un4j6539p,cmm95p3se0003m3b36q6t6wzh,"January Week 3",2026,1,3,5,0.0,0,0,0,0,104802,688,0.006564760214,73,737.66,0.0,0.0,5178,316,0.06102742372,0.6671029576,150,0.4746835443,3.157933333,473.69,3,101600,0,0,0.0,0.0,1772460748917,1772462834177
cmm99d6r9002hej8uj7w88h7y,cmm95p3se0003m3b36q6t6wzh,"January Week 4",2026,1,4,5,0.0,0,0,0,0,104880,672,0.006407322654,72,829.35,0.0,0.0,5560,267,0.04802158273,0.5714408013,64,0.2397003745,7.300625,467.24,3,102500,6,0,0.0,0.0,1772460748918,1772462834178
cmm99d6ra002jej8u99me2u4l,cmm95p3se0003m3b36q6t6wzh,"February Week 1",2026,2,1,5,0.0,0,0,0,0,81814,601,0.007345931014,84,806.72,0.0,0.0,4624,278,0.06012110727,0.6200789597,92,0.3309352518,4.873152174,448.33,3,100500,3,0,0.0,0.0,1772460748918,1772462834178
cmm99d6rb002lej8u0ylsa43t,cmm95p3se0003m3b36q6t6wzh,"February Week 2",2026,2,2,5,0.0,0,0,0,0,58878,542,0.009205475729,64,1000.56,0.0,0.0,5237,360,0.06874164598,0.7190077693,91,0.2527777778,5.502087912,500.69,3,74200,9,0,0.0,0.0,1772460748919,1772462834179
cmm99d6rb002nej8upfypxmx4,cmm95p3se0003m3b36q6t6wzh,"February Week 3",2026,2,3,5,0.0,0,0,0,0,34355,360,0.01047882404,55,935.18,0.0,0.0,5820,422,0.07250859107,0.5602835938,115,0.2725118483,6.549478261,753.19,6,31300,7,0,0.0,0.0,1772460748920,1772462834180
cmm99d6rc002pej8uw3xr2ri3,cmm95p3se0003m3b36q6t6wzh,"February Week 4",2026,2,4,0,0.0,0,0,0,0,29779,348,0.01168608751,55,944.72,0.0,0.0,6062,391,0.06450016496,0.532719321,101,0.2583120205,7.267029703,733.97,3,28100,16,0,0.0,0.0,1772460748920,1772462834180
cmm99d6re002sej8uvyecdzvq,cmm95pksy0004m3b36b0ni5eq,"November Week 1",2025,11,1,5,0.0,0,26,49,2,26864,218,0.008114949375,32,699.39,0.0,0.0,13156,406,0.0308604439,1.926083744,60,0.1477832512,13.03316667,781.99,1,0,0,0,0.0,0.0,1772460748923,1772462834183
cmm99d6rf002uej8ub1pjgrmk,cmm95pksy0004m3b36b0ni5eq,"November Week 2",2025,11,2,5,0.0,0,16,52,25,22678,178,0.007849016668,14,616.84,0.0,0.0,10971,396,0.03609515997,2.128585859,61,0.154040404,13.81836066,842.92,1,0,0,0,0.0,0.0,1772460748923,1772462834184
cmm99d6rg002wej8u1q37nmuh,cmm95pksy0004m3b36b0ni5eq,"November Week 3",2025,11,3,5,0.0,0,13,26,14,23411,231,0.009867156465,35,606.08,0.0,0.0,7961,306,0.03843738224,2.040588235,51,0.1666666667,12.24352941,624.42,1,0,0,0,0.0,0.0,1772460748924,1772462834184
cmm99d6rg002yej8ui6y3pfee,cmm95pksy0004m3b36b0ni5eq,"November Week 4",2025,11,4,4,0.0,0,17,43,16,27939,219,0.007838505315,43,703.19,0.0,0.0,5515,274,0.04968268359,2.240547445,29,0.1058394161,21.16931034,613.91,0,0,0,0,0.0,0.0,1772460748925,1772462834185
cmm99d6rh0030ej8u69241ukw,cmm95pksy0004m3b36b0ni5eq,"December Week 1",2025,12,1,6,0.0,0,13,25,11,32500,257,0.007907692308,39,689.63,0.0,0.0,7042,313,0.04444760011,1.760894569,33,0.1054313099,16.70181818,551.16,2,0,0,0,0.0,0.0,1772460748925,1772462834186
cmm99d6rh0032ej8uluy4gj0c,cmm95pksy0004m3b36b0ni5eq,"December Week 2",2025,12,2,6,0.0,0,14,18,7,31471,278,0.008833529281,44,709.88,0.0,0.0,8355,370,0.04428485937,2.460378378,52,0.1405405405,17.50653846,910.34,4,24500,0,0,0.0,0.0,1772460748926,1772462834186
cmm99d6ri0034ej8u28juqt46,cmm95pksy0004m3b36b0ni5eq,"December Week 3",2025,12,3,5,0.0,0,12,22,8,30331,242,0.007978635719,30,689.76,0.0,0.0,9146,312,0.03411327356,2.172403846,41,0.1314102564,16.53146341,677.79,5,23100,0,0,0.0,0.0,1772460748926,1772462834187
cmm99d6rj0036ej8uwqklja4o,cmm95pksy0004m3b36b0ni5eq,"December Week 4",2025,12,4,5,0.0,0,16,17,12,33007,296,0.00896779471,46,704.25,0.0,0.0,9382,311,0.03314858239,1.988263666,44,0.1414790997,14.05340909,618.35,4,146500,0,0,0.0,0.0,1772460748927,1772462834188
cmm99d6rj0038ej8ufelmynoo,cmm95pksy0004m3b36b0ni5eq,"January Week 1",2026,1,1,4,0.0,0,0,0,0,50775,333,0.006558345643,40,692.0,0.0,0.0,10807,364,0.03368187286,2.159258242,45,0.1236263736,17.466,785.97,2,38300,0,0,0.0,0.0,1772460748928,1772462834188
cmm99d6rk003aej8u3zu0p2sl,cmm95pksy0004m3b36b0ni5eq,"January Week 2",2026,1,2,5,0.0,0,0,0,0,38303,264,0.006892410516,34,715.15,0.0,0.0,12163,386,0.03173559155,0.4768257733,46,0.1191709845,17.59826087,809.52,3,32700,44,0,0.0,0.0,1772460748928,1772462834189
cmm99d6rk003cej8uta4xp1u9,cmm95pksy0004m3b36b0ni5eq,"January Week 3",2026,1,3,5,0.0,0,0,0,0,37356,275,0.007361601885,31,691.67,0.0,0.0,10466,342,0.03267724059,0.5006514324,49,0.1432748538,13.94102041,683.11,3,26500,41,0,0.0,0.0,1772460748929,1772462834190
cmm99d6rl003eej8ups90i390,cmm95pksy0004m3b36b0ni5eq,"January Week 4",2026,1,4,5,0.0,0,0,0,0,50864,361,0.00709735766,30,704.18,0.0,0.0,6226,260,0.04176035978,0.6890155028,20,0.07692307692,18.8675,377.35,1,40100,23,0,0.0,0.0,1772460748929,1772462834190
cmm99d6rm003gej8ub1nnv8oj,cmm95pksy0004m3b36b0ni5eq,"February Week 1",2026,2,1,5,0.0,0,0,0,0,36316,314,0.008646326688,44,699.05,0.0,0.0,5027,448,0.0891187587,1.776649746,18,0.04017857143,14.00888889,252.16,4,33500,40,0,0.0,0.0,1772460748930,1772462834191
cmm99d6rm003iej8uc3o7zv4c,cmm95pksy0004m3b36b0ni5eq,"February Week 2",2026,2,2,5,0.0,0,0,0,0,33342,318,0.009537520245,42,691.38,0.0,0.0,5137,209,0.04068522484,0.4442366144,29,0.1387559809,16.22310345,470.47,2,25500,47,0,0.0,0.0,1772460748931,1772462834192
cmm99d6rn003kej8u00xwqfu6,cmm95pksy0004m3b36b0ni5eq,"February Week 3",2026,2,3,5,0.0,0,0,0,0,33895,303,0.008939371589,32,693.3,0.0,0.0,7673,302,0.03935879056,0.3379701646,36,0.119205298,24.82138889,893.57,3,25100,53,0,0.0,0.0,1772460748931,1772462834192
cmm99d6rn003mej8u7xw0qaxe,cmm95pksy0004m3b36b0ni5eq,"February Week 4",2026,2,4,0,0.0,0,0,0,0,31259,252,0.008061678237,28,693.03,0.0,0.0,8239,321,0.03896103896,0.3528713394,33,0.1028037383,27.56606061,909.68,4,22800,53,0,0.0,0.0,1772460748932,1772462834193
cmm9d24op0001s4ypvum3n3iq,cmm95odul0002m3b3ekssh3h2,"2026 Week 9 (Feb 23–Mar 1)",2026,2,9,3,0.0,0,16,19,41,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,3,200,32,0,0.0,4.57,1772466951481,1772533930386
cmma37yvg0001okipxg6270vp,cmm95mcov0000m3b33gam35ij,"2026 Week 10 (Mar 2–Mar 8)",2026,3,10,5,9.876,333,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,1.234,0,0.0,0.0,0.0,0,0,0,0,0.0,20.001,1772510893900,1772510903801
cmma46wek0001rr1mpnmrps8f,cmm95odul0002m3b3ekssh3h2,"2026 Week 10 (Mar 2–Mar 8)",2026,3,10,0,0.0,0,0,0,0,0,0,1.11,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1772512523660,1772512523660
